LEAGUE,DIVISION_NAME,LINK_URL
BPYSL,Female U11 - U11G Elite 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503944
BPYSL,Female U11 - U11G Premier 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503943
BPYSL,Female U12 - U12G Buckeye State,https://system.gotsport.com/org_event/events/54982/schedules?group=503952
BPYSL,Female U12 - U12G Elite 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503950
BPYSL,Female U12 - U12G Premier 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503951
BPYSL,Female U12 - U12G Select Red,https://system.gotsport.com/org_event/events/54982/schedules?group=503949
BPYSL,Female U12 - U12G Select Black,https://system.gotsport.com/org_event/events/54982/schedules?group=503953
BPYSL,Female U13 - U13G Buckeye State,https://system.gotsport.com/org_event/events/54982/schedules?group=503960
BPYSL,Female U13 - U13G Premier 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503959
BPYSL,Female U13 - U13G Select Black,https://system.gotsport.com/org_event/events/54982/schedules?group=503958
BPYSL,Female U13 - U13G Select Red,https://system.gotsport.com/org_event/events/54982/schedules?group=503961
BPYSL,Female U14 - U14G Buckeye State,https://system.gotsport.com/org_event/events/54982/schedules?group=503971
BPYSL,Female U14 - U14G Elite 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503968
BPYSL,Female U14 - U14G Premier 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503967
BPYSL,Female U14 - U14G Select Red,https://system.gotsport.com/org_event/events/54982/schedules?group=503970
BPYSL,Female U14 - U14G Select Silver,https://system.gotsport.com/org_event/events/54982/schedules?group=523843
BPYSL,Female U15 - U15G Elite 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503978
BPYSL,Female U15 - U14/U15G Select Black,https://system.gotsport.com/org_event/events/54982/schedules?group=503977
BPYSL,Female U16 - U16G Buckeye State,https://system.gotsport.com/org_event/events/54982/schedules?group=503986
BPYSL,Female U16 - U16G Premier 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503984
BPYSL,Female U16 - U16G Select Black,https://system.gotsport.com/org_event/events/54982/schedules?group=503985
BPYSL,Female U17 - U17G Buckeye State,https://system.gotsport.com/org_event/events/54982/schedules?group=503992
BPYSL,Female U17 - U17G Premier 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503993
BPYSL,Female U19 - U18/19G Buckeye State,https://system.gotsport.com/org_event/events/54982/schedules?group=503998
BPYSL,Female U19 - U18/19G Elite 1,https://system.gotsport.com/org_event/events/54982/schedules?group=503999
BPYSL,Female U19 - U18/19G Select Black,https://system.gotsport.com/org_event/events/54982/schedules?group=504000
