LEAGUE,DIVISION,TEAM_NAME,SCHEDULE_LINK
CPL,Boys U9 Division 6,Inner Cincinnati SA Inner Cincinnati U9,https://system.gotsport.com/org_event/events/55642/schedules?team=4175054
CPL,Boys U9 Division 6,Cincinnati United Soccer Club CUSC BU9 North SM Dundee United,https://system.gotsport.com/org_event/events/55642/schedules?team=4188931
CPL,Boys U9 Division 6,Cincy SC Cincy SC B17-18 Navy,https://system.gotsport.com/org_event/events/55642/schedules?team=4189851
CPL,Boys U9 Division 6,Fairfield Optimist Soccer Club FOSC Lebanon Warrior Premier B17/18 Maroon,https://system.gotsport.com/org_event/events/55642/schedules?team=4192174
CPL,Boys U9 Division 7,NWC Alliance Soccer Club NWC Alliance 2036 Boys Chelsea,https://system.gotsport.com/org_event/events/55642/schedules?team=4100576
CPL,Boys U9 Division 7,Total Futbol Academy (OH) TFA B2017-18 Premier,https://system.gotsport.com/org_event/events/55642/schedules?team=4145718
CPL,Boys U9 Division 7,Total Ginga Academy Total Ginga Academy U9B Blue (KY),https://system.gotsport.com/org_event/events/55642/schedules?team=4159501
CPL,Boys U9 Division 7,FC Dayton FC Dayton U9 Boys Navy,https://system.gotsport.com/org_event/events/55642/schedules?team=4171838
CPL,Boys U9 Division 7,On Goal Passion FC Passion FC 2017/2018B Gray,https://system.gotsport.com/org_event/events/55642/schedules?team=4169969
CPL,Boys U9 Division 7,Lakota Futbol Club Lakota FC B17/18 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4178401
CPL,Boys U9 Division 7,Cincy SC Cincy SC B17-18 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4189853
CPL,Boys U9 Division 7,Campbell Soccer Club (CSC) CampbellSC U9B Stadtmiller,https://system.gotsport.com/org_event/events/55642/schedules?team=4175193
CPL,Boys U9 Division 8,Kings Hammer Cincinnati KHA Sycamore BU9 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4155914
CPL,Boys U9 Division 8,Elevate FC Elevate FC BU9 Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4158176
CPL,Boys U9 Division 8,Total Ginga Academy Total Ginga Academy U9B (OH),https://system.gotsport.com/org_event/events/55642/schedules?team=4159546
CPL,Boys U9 Division 8,FC Storm FC Storm BU9 Loveland Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4161055
CPL,Boys U9 Division 8,Lord's Gym Price Hill Lord's Gym F.C. BU9,https://system.gotsport.com/org_event/events/55642/schedules?team=4175479
